specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,Mx-bcorr,My-bcorr,Mz-bcorr,Mt-bcorr,Dec-bcorr,Inc-bcorr,MN [Am2],ME [Am2],MV [Am2],Mtot [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,279,-4.70E-06,-9.81E-07,1.42E-06,5.01E-06,191.8,16.5,-4.62E-06,-9.25E-07,5.61E-07,4.74E-06,191.3,6.8,1.42E-06,-9.81E-07,4.70E-06,5.01E-06,-34.548,69.8201,,,,,,,,,,,,,,RM(Tmeas),4/26/10,11:09:10 AM,3,,,0,,,279
Ikon_magnetite_<100>_02,273,-4.68E-06,-9.84E-07,1.42E-06,4.99E-06,191.9,16.5,-4.59E-06,-9.29E-07,5.67E-07,4.72E-06,191.4,6.9,1.42E-06,-9.84E-07,4.68E-06,4.99E-06,-34.7056,69.729,,,,,,,,,,,,,,RM(Tmeas),4/26/10,11:18:01 AM,3,,,0,,,273
Ikon_magnetite_<100>_02,257,-4.62E-06,-9.97E-07,1.40E-06,4.93E-06,192.2,16.5,-4.54E-06,-9.44E-07,5.73E-07,4.67E-06,191.7,7,1.40E-06,-9.97E-07,4.62E-06,4.93E-06,-35.4295,69.5971,,,,,,,,,,,,,,RM(Tmeas),4/26/10,11:35:00 AM,3,,,0,,,257
Ikon_magnetite_<100>_02,243,-4.57E-06,-9.87E-07,1.38E-06,4.88E-06,192.2,16.5,-4.49E-06,-9.35E-07,5.75E-07,4.62E-06,191.8,7.1,1.38E-06,-9.87E-07,4.57E-06,4.88E-06,-35.5443,69.6238,,,,,,,,,,,,,,RM(Tmeas),4/26/10,11:45:57 AM,3,,,0,,,243
Ikon_magnetite_<100>_02,233,-4.50E-06,-9.58E-07,1.37E-06,4.80E-06,192,16.5,-4.42E-06,-9.08E-07,5.76E-07,4.55E-06,191.6,7.3,1.37E-06,-9.58E-07,4.50E-06,4.80E-06,-35.0326,69.6493,,,,,,,,,,,,,,RM(Tmeas),4/26/10,11:52:36 AM,3,,,0,,,233
Ikon_magnetite_<100>_02,223,-4.39E-06,-9.32E-07,1.35E-06,4.68E-06,192,16.7,-4.31E-06,-8.84E-07,5.74E-07,4.44E-06,191.6,7.4,1.35E-06,-9.32E-07,4.39E-06,4.68E-06,-34.6672,69.5139,,,,,,,,,,,,,,RM(Tmeas),4/26/10,11:58:39 AM,3,,,0,,,223
Ikon_magnetite_<100>_02,213,-4.23E-06,-9.08E-07,1.32E-06,4.52E-06,192.1,16.9,-4.16E-06,-8.60E-07,5.60E-07,4.29E-06,191.7,7.5,1.32E-06,-9.08E-07,4.23E-06,4.52E-06,-34.5506,69.2823,,,,,,,,,,,,,,RM(Tmeas),4/26/10,12:03:41 PM,3,,,0,,,213
Ikon_magnetite_<100>_02,203,-4.08E-06,-8.88E-07,1.28E-06,4.37E-06,192.3,17.1,-4.01E-06,-8.41E-07,5.40E-07,4.13E-06,191.9,7.5,1.28E-06,-8.88E-07,4.08E-06,4.37E-06,-34.674,69.059,,,,,,,,,,,,,,RM(Tmeas),4/26/10,12:08:02 PM,3,,,0,,,203
Ikon_magnetite_<100>_02,193,-3.95E-06,-8.91E-07,1.27E-06,4.24E-06,192.7,17.4,-3.88E-06,-8.46E-07,5.41E-07,4.01E-06,192.3,7.8,1.27E-06,-8.91E-07,3.95E-06,4.24E-06,-35.0963,68.5667,,,,,,,,,,,,,,RM(Tmeas),4/26/10,12:12:00 PM,3,,,0,,,193
Ikon_magnetite_<100>_02,183,-3.85E-06,-8.57E-07,1.24E-06,4.13E-06,192.6,17.5,-3.78E-06,-8.13E-07,5.33E-07,3.91E-06,192.1,7.8,1.24E-06,-8.57E-07,3.85E-06,4.13E-06,-34.5596,68.5549,,,,,,,,,,,,,,RM(Tmeas),4/26/10,12:15:23 PM,3,,,0,,,183
