specimen,Mx[Am2],My[Am2],Mz[Am2],MN[Am2],ME[Am2],MV[Am2],Mtot[Am2],Dec[deg],Inc[deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,Description,Meas_T[K],Mode,Type
CF-blank,-2.88425E-08,-2.27424E-08,4.79452E-07,4.79452E-07,-2.27424E-08,2.88425E-08,4.80857E-07,-2.71573,3.43875,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,2:55:26 PM,2,,,0,,,36.4124,DISCRETE,
CF-blank,-3.05831E-08,-2.48639E-08,4.98831E-07,4.98831E-07,-2.48639E-08,3.05831E-08,5.00386E-07,-2.85351,3.50405,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:00:13 PM,2,,,0,,,58.7555,DISCRETE,
CF-blank,-3.15183E-08,-2.5913E-08,5.11782E-07,5.11782E-07,-2.5913E-08,3.15183E-08,5.13406E-07,-2.89858,3.51964,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:01:51 PM,2,,,0,,,69.7606,DISCRETE,
CF-blank,-3.32311E-08,-2.43726E-08,5.33139E-07,5.33139E-07,-2.43726E-08,3.32311E-08,5.3473E-07,-2.61747,3.56298,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:07:21 PM,2,,,0,,,80.1873,DISCRETE,
CF-blank,-3.52372E-08,-2.19258E-08,5.40468E-07,5.40468E-07,-2.19258E-08,3.52372E-08,5.42059E-07,-2.32311,3.72721,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:09:49 PM,2,,,0,,,89.4842,DISCRETE,
CF-blank,-3.72833E-08,-2.33964E-08,5.69225E-07,5.69225E-07,-2.33964E-08,3.72833E-08,5.70925E-07,-2.35366,3.74427,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:13:31 PM,2,,,0,,,104.792,DISCRETE,
CF-blank,-4.03674E-08,-2.56411E-08,5.85214E-07,5.85214E-07,-2.56411E-08,4.03674E-08,5.87165E-07,-2.50881,3.94217,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:17:59 PM,2,,,0,,,118.08,DISCRETE,
CF-blank,-4.33911E-08,-2.65263E-08,5.9499E-07,5.9499E-07,-2.65263E-08,4.33911E-08,5.9716E-07,-2.55272,4.16692,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:23:52 PM,2,,,0,,,131.824,DISCRETE,
CF-blank,-4.5801E-08,-2.69379E-08,5.88228E-07,5.88228E-07,-2.69379E-08,4.5801E-08,5.90623E-07,-2.62202,4.44758,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:29:02 PM,2,,,0,,,141.979,DISCRETE,
CF-blank,-4.80906E-08,-2.69851E-08,5.84006E-07,5.84006E-07,-2.69851E-08,4.80906E-08,5.86603E-07,-2.64557,4.70247,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:36:32 PM,2,,,0,,,154.891,DISCRETE,
CF-blank,-5.15852E-08,-2.8195E-08,5.92303E-07,5.92303E-07,-2.8195E-08,5.15852E-08,5.95213E-07,-2.72535,4.97188,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:45:03 PM,2,,,0,,,167.698,DISCRETE,
CF-blank,-5.25926E-08,-2.82992E-08,5.90048E-07,5.90048E-07,-2.82992E-08,5.25926E-08,5.93063E-07,-2.74585,5.08765,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:49:53 PM,2,,,0,,,174.327,DISCRETE,
CF-blank,-5.57764E-08,-2.93764E-08,6.00825E-07,6.00825E-07,-2.93764E-08,5.57764E-08,6.04123E-07,-2.79916,5.29744,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,3:59:07 PM,2,,,0,,,186.056,DISCRETE,
CF-blank,-5.99738E-08,-3.09556E-08,6.21813E-07,6.21813E-07,-3.09556E-08,5.99738E-08,6.25465E-07,-2.84999,5.50237,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:11:08 PM,2,,,0,,,199.843,DISCRETE,
CF-blank,-6.40339E-08,-3.29565E-08,6.46876E-07,6.46876E-07,-3.29565E-08,6.40339E-08,6.50873E-07,-2.91653,5.64598,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:21:23 PM,2,,,0,,,210.532,DISCRETE,
CF-blank,-6.93333E-08,-3.56213E-08,6.83777E-07,6.83777E-07,-3.56213E-08,6.93333E-08,6.88206E-07,-2.98212,5.78207,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:35:50 PM,2,,,0,,,224.273,DISCRETE,
CF-blank,-7.20331E-08,-4.20385E-08,6.06192E-07,6.06192E-07,-4.20385E-08,7.20331E-08,6.11903E-07,-3.96703,6.76053,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:52:11 PM,2,,,0,,,237.213,DISCRETE,
CF-blank,-7.36793E-08,-4.2105E-08,7.25924E-07,7.25924E-07,-4.2105E-08,7.36793E-08,7.30867E-07,-3.31954,5.78586,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:52:45 PM,2,,,0,,,237.573,DISCRETE,
CF-blank,-7.41539E-08,-4.28719E-08,6.98092E-07,6.98092E-07,-4.28719E-08,7.41539E-08,7.03327E-07,-3.51429,6.05211,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:53:21 PM,2,,,0,,,237.905,DISCRETE,
CF-blank,-7.48971E-08,-4.28414E-08,8.00207E-07,8.00207E-07,-4.28414E-08,7.48971E-08,8.04846E-07,-3.06457,5.33954,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:56:14 PM,2,,,0,,retuned z squid,239.367,DISCRETE,
CF-blank,-7.47777E-08,-4.2764E-08,6.94993E-07,6.94993E-07,-4.2764E-08,7.47777E-08,7.00311E-07,-3.52106,6.1296,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:56:52 PM,2,,,0,,,239.662,DISCRETE,
CF-blank,-9.4398E-08,-3.03316E-08,7.45455E-07,7.45455E-07,-3.03316E-08,9.4398E-08,7.5202E-07,-2.33001,7.21112,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:57:26 PM,2,,,0,,,239.909,DISCRETE,
CF-blank,-7.53974E-08,-4.35431E-08,7.97299E-07,7.97299E-07,-4.35431E-08,7.53974E-08,8.02039E-07,-3.12601,5.39418,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,4:59:29 PM,2,,,0,,retuned z squid,240.784,DISCRETE,
CF-blank,-7.55763E-08,-4.35727E-08,7.3967E-07,7.3967E-07,-4.35727E-08,7.55763E-08,7.44797E-07,-3.3713,5.82396,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,5:00:24 PM,2,,,0,,,241.107,DISCRETE,
CF-blank,-5.92767E-08,-4.27815E-08,7.28726E-07,7.28726E-07,-4.27815E-08,5.92767E-08,7.32383E-07,-3.35982,4.64241,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,5:11:01 PM,2,,,0,,retuned z squid,244.513,DISCRETE,
CF-blank,-7.0045E-08,-3.70641E-08,7.54789E-07,7.54789E-07,-3.70641E-08,7.0045E-08,7.58937E-07,-2.81126,5.29556,,,,,,,,,,,,,,RM(Tmeas),4/28/2010,5:25:28 PM,2,,,0,,retuned z squid,248.976,DISCRETE,
CF-blank,-8.70278E-08,-5.3232E-08,8.31565E-07,8.31565E-07,-5.3232E-08,8.70278E-08,8.37799E-07,-3.66274,5.96245,,,,,,,,,,,,,,RM(Tmeas),4/29/2010,7:37:27 AM,2,,,0,,retuned z squid,294.407,DISCRETE,
CF-blank,-8.6785E-08,-5.30293E-08,8.31356E-07,8.31356E-07,-5.30293E-08,8.6785E-08,8.37554E-07,-3.64975,5.9475,,,,,,,,,,,,,,RM(Tmeas),4/29/2010,7:38:01 AM,2,,,0,,retuned z squid,294.413,DISCRETE,
