specimen,Mx[Am2],My[Am2],Mz[Am2],MN[Am2],ME[Am2],MV[Am2],Mtot[Am2],Dec[deg],Inc[deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,Description,Meas_T[K],Mode,Type
Labrador hematite 02a,-7.3983E-08,-1.07543E-08,-4.49486E-07,-4.49486E-07,-1.07543E-08,7.3983E-08,4.55661E-07,181.371,9.34415,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,1:25:55 PM,1,,,0,,,128,DISCRETE,
Labrador hematite 02a,-7.49665E-08,-2.9359E-09,-4.50745E-07,-4.50745E-07,-2.9359E-09,7.49665E-08,4.56946E-07,180.373,9.44262,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,1:33:42 PM,1,,,0,,,133,DISCRETE,
Labrador hematite 02a,-7.55825E-08,-1.8509E-09,-4.45673E-07,-4.45673E-07,-1.8509E-09,7.55825E-08,4.52041E-07,180.238,9.62523,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,1:42:26 PM,1,,,0,,,139,DISCRETE,
Labrador hematite 02a,-7.60725E-08,-1.19655E-09,-4.41425E-07,-4.41425E-07,-1.19655E-09,7.60725E-08,4.47934E-07,180.155,9.77792,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,1:48:29 PM,1,,,0,,,143,DISCRETE,
Labrador hematite 02a,-8.034E-08,-2.2779E-09,-4.94104E-07,-4.94104E-07,-2.2779E-09,8.034E-08,5.00598E-07,180.264,9.23522,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,1:55:15 PM,1,,,0,,,148,DISCRETE,
Labrador hematite 02a,-7.8184E-08,-3.1044E-10,-4.40083E-07,-4.40083E-07,-3.1044E-10,7.8184E-08,4.46974E-07,180.04,10.0739,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:02:19 PM,1,,,0,,,154,DISCRETE,
Labrador hematite 02a,-7.80675E-08,7.218E-10,-4.40411E-07,-4.40411E-07,7.218E-10,7.80675E-08,4.47277E-07,-180.094,10.0519,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:06:18 PM,1,,,0,,,158,DISCRETE,
Labrador hematite 02a,-7.99674E-08,1.64585E-09,-4.40103E-07,-4.40103E-07,1.64585E-09,7.99674E-08,4.47312E-07,-180.214,10.2983,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:10:54 PM,1,,,0,,,163,DISCRETE,
Labrador hematite 02a,-8.21694E-08,2.4829E-09,-4.48542E-07,-4.48542E-07,2.4829E-09,8.21694E-08,4.56013E-07,-180.317,10.3809,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:16:45 PM,1,,,0,,,169,DISCRETE,
Labrador hematite 02a,-8.28435E-08,3.7658E-09,-4.53763E-07,-4.53763E-07,3.7658E-09,8.28435E-08,4.61279E-07,-180.475,10.3462,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:20:47 PM,1,,,0,,,173,DISCRETE,
Labrador hematite 02a,-8.3887E-08,4.86962E-09,-4.70166E-07,-4.70166E-07,4.86962E-09,8.3887E-08,4.77616E-07,-180.593,10.1157,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:25:50 PM,1,,,0,,,178,DISCRETE,
Labrador hematite 02a,-8.61681E-08,1.29679E-08,-4.84094E-07,-4.84094E-07,1.29679E-08,8.61681E-08,4.91874E-07,-181.534,10.0893,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:30:45 PM,1,,,0,,flux jump,183,DISCRETE,
Labrador hematite 02a,-8.863E-08,1.11951E-08,-5.03197E-07,-5.03197E-07,1.11951E-08,8.863E-08,5.11066E-07,-181.274,9.98684,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:35:39 PM,1,,,0,,,188,DISCRETE,
Labrador hematite 02a,-9.18725E-08,1.40264E-08,-5.33446E-07,-5.33446E-07,1.40264E-08,9.18725E-08,5.41482E-07,-181.506,9.76856,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:43:24 PM,1,,,0,,,193,DISCRETE,
Labrador hematite 02a,-9.4145E-08,1.59612E-08,-5.6742E-07,-5.6742E-07,1.59612E-08,9.4145E-08,5.75398E-07,-181.611,9.41691,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,2:54:36 PM,1,,,0,,,198,DISCRETE,
Labrador hematite 02a,-9.7216E-08,1.96327E-08,-6.07739E-07,-6.07739E-07,1.96327E-08,9.7216E-08,6.15779E-07,-181.85,9.08357,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,3:02:58 PM,1,,,0,,,203,DISCRETE,
Labrador hematite 02a,-1.00512E-07,2.43949E-08,-6.49973E-07,-6.49973E-07,2.43949E-08,1.00512E-07,6.58151E-07,-182.149,8.78451,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,3:09:07 PM,1,,,0,,,208,DISCRETE,
Labrador hematite 02a,-1.04603E-07,2.91276E-08,-7.10566E-07,-7.10566E-07,2.91276E-08,1.04603E-07,7.18815E-07,-182.347,8.36748,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,3:15:00 PM,1,,,0,,,213,DISCRETE,
Labrador hematite 02a,-1.34885E-07,3.07684E-08,-7.76512E-07,-7.76512E-07,3.07684E-08,1.34885E-07,7.8874E-07,-182.269,9.84677,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,3:20:46 PM,1,,,0,,,218,DISCRETE,
Labrador hematite 02a,-1.14463E-07,4.35713E-08,-8.65109E-07,-8.65109E-07,4.35713E-08,1.14463E-07,8.73735E-07,-182.883,7.52766,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,3:26:31 PM,1,,,0,,,223,DISCRETE,
Labrador hematite 02a,-1.21556E-07,5.18077E-08,-9.77949E-07,-9.77949E-07,5.18077E-08,1.21556E-07,9.86836E-07,-183.032,7.07549,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,3:32:19 PM,1,,,0,,,228,DISCRETE,
Labrador hematite 02a,-1.29631E-07,6.616E-08,-1.12403E-06,-1.12403E-06,6.616E-08,1.29631E-07,1.13341E-06,-183.369,6.56742,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,3:38:19 PM,1,,,0,,,233,DISCRETE,
Labrador hematite 02a,-1.38597E-07,8.2974E-08,-1.31706E-06,-1.31706E-06,8.2974E-08,1.38597E-07,1.32693E-06,-183.605,5.99543,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,3:44:08 PM,1,,,0,,,238,DISCRETE,
