Key,Specimen_ID,Specimen_owner,Date,Time,Mx[Am2],My[Am2],Mz[Am2],M_N[Am2],M_E[Am2],M_V[Am2],moment[Am2],Dec,Inc,Jnrm[Am2/kg],Jnrm[A/m],Jtrm[Am2/kg],Jtrm[A/m],Jptrm[Am2/kg],Jptrm[A/m],Jarm[Am2/kg],Jarm[A/m],Jparm[Am2/kg],Jparm[A/m],Xarm[m3/kg],Xarm[SI],Jirm[Am2/kg],Jirm[A/m],AFmax[mT],AFmin[mT],Tmax[C],Tmin[C],Hdc[mT],HdcDec_SampleCoord[deg],HdcInc_SampleCoord[deg],AFdecay[uT/half-cycle],DT/dt[deg/min],Instrument_code,Measurement_code,Measurement_series,(de)magnetizer_code,Ja/Jr,Drift_ratio,N_measurements,Comment,normalizing_mass[g],normalizing_area[cm2],measurement_position[cm],run#,run_number,processing_code,bad,measurement_T[K],AFaxis_code
884540,CF Blank,Peat,2/6/2012,8:18:35 AM,-1.19111E-06,1.39611E-07,7.97177E-06,-1.19111E-06,1.39611E-07,7.97177E-06,8.06148E-06,-186.685,81.4447,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,292.7,1,,,,,,,293.392,
884541,CF Blank,Peat,2/6/2012,8:19:41 AM,-1.1923E-06,1.40625E-07,8.08417E-06,-1.1923E-06,1.40625E-07,8.08417E-06,8.17283E-06,-186.727,81.5529,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,292.7,1,,,,,,,293.385,
884545,CF Blank,Peat,2/6/2012,8:23:06 AM,-1.19022E-06,1.38207E-07,7.9116E-06,-1.19022E-06,1.38207E-07,7.9116E-06,8.00182E-06,-186.623,81.3879,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,292.66,1,,,,,,,293.365,
884549,CF Blank,Peat,2/6/2012,8:26:43 AM,-1.18902E-06,1.39544E-07,7.96104E-06,-1.18902E-06,1.39544E-07,7.96104E-06,8.05055E-06,-186.694,81.448,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,292.62,1,,,,,,,293.332,
884550,CF Blank,Peat,2/6/2012,8:28:21 AM,-1.18893E-06,1.40294E-07,7.84904E-06,-1.18893E-06,1.40294E-07,7.84904E-06,7.93982E-06,-186.73,81.3278,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,292.58,1,,,,,,,293.285,
884551,CF Blank,Peat,2/6/2012,8:29:55 AM,-1.18866E-06,1.37914E-07,7.96399E-06,-1.18866E-06,1.37914E-07,7.96399E-06,8.05339E-06,-186.618,81.4549,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,292.54,1,,,,,,,293.268,
884552,CF Blank,Peat,2/6/2012,9:30:31 AM,-0.000001195,1.7074E-07,0.000008003,-0.000001195,1.7074E-07,0.000008003,8.09352E-06,-188.131,81.4225,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,290.27,1,,,,,,,290.505,
884553,CF Blank,Peat,2/6/2012,9:31:08 AM,-1.19694E-06,1.80537E-07,8.00604E-06,-1.19694E-06,1.80537E-07,8.00604E-06,8.09703E-06,-188.577,81.4022,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,290.17,1,,,,,,,290.381,
884554,CF Blank,Peat,2/6/2012,9:48:23 AM,-1.1939E-06,1.89708E-07,7.98944E-06,-1.1939E-06,1.89708E-07,7.98944E-06,8.08038E-06,-189.029,81.3959,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,285.43,1,,,,,,,285.232,
884555,CF Blank,Peat,2/6/2012,9:59:11 AM,-1.1933E-06,2.0176E-07,8.09103E-06,-1.1933E-06,2.0176E-07,8.09103E-06,8.18104E-06,-189.597,81.4929,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,280.21,1,,,,,,,280.018,
884563,CF Blank,Peat,2/6/2012,10:07:35 AM,-1.18579E-06,2.13541E-07,8.14302E-06,-1.18579E-06,2.13541E-07,8.14302E-06,8.23167E-06,-190.209,81.5834,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,274.31,1,,,,,,,274.754,
884572,CF Blank,Peat,2/6/2012,10:14:34 AM,-1.17606E-06,2.22284E-07,8.19295E-06,-1.17606E-06,2.22284E-07,8.19295E-06,8.27991E-06,-190.703,81.6886,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,268.8,1,,,,,,,269.469,
884575,CF Blank,Peat,2/6/2012,10:20:42 AM,-1.16468E-06,2.31021E-07,0.000008238,-1.16468E-06,2.31021E-07,0.000008238,8.32313E-06,-191.219,81.7983,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,263.29,1,,,,,,,264.087,
884576,CF Blank,Peat,2/6/2012,10:26:11 AM,-1.15982E-06,2.37418E-07,8.28701E-06,-1.15982E-06,2.37418E-07,8.28701E-06,8.37115E-06,-191.569,81.8698,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,257.92,1,,,,,,,258.667,
884577,CF Blank,Peat,2/6/2012,10:31:04 AM,-0.000001145,1.67226E-07,8.32903E-06,-0.000001145,1.67226E-07,8.32903E-06,8.40903E-06,-188.309,82.0905,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,252.42,1,,,,,,,253.278,
884578,CF Blank,Peat,2/6/2012,10:35:33 AM,-1.13515E-06,1.72488E-07,8.31942E-06,-1.13515E-06,1.72488E-07,8.31942E-06,8.39828E-06,-188.64,82.1421,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,247.08,1,,,,,,,247.831,
884579,CF Blank,Peat,2/6/2012,10:39:42 AM,-1.12129E-06,1.79539E-07,8.41899E-06,-1.12129E-06,1.79539E-07,8.41899E-06,8.49523E-06,-189.097,82.3182,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,241.36,1,,,,,,,242.314,
884580,CF Blank,Peat,2/6/2012,10:43:30 AM,-1.1084E-06,1.84851E-07,8.46604E-06,-1.1084E-06,1.84851E-07,8.46604E-06,8.54029E-06,-189.468,82.4392,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,236.59,1,,,,,,,236.808,
884581,CF Blank,Peat,2/6/2012,10:47:09 AM,-1.09234E-06,1.86681E-07,8.51294E-06,-1.09234E-06,1.86681E-07,8.51294E-06,8.58477E-06,-189.698,82.5832,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,231.84,1,,,,,,,231.152,
884582,CF Blank,Peat,2/6/2012,10:50:42 AM,-1.07536E-06,1.92824E-07,8.50062E-06,-1.07536E-06,1.92824E-07,8.50062E-06,8.57053E-06,-190.166,82.6764,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,225.92,1,,,,,,,225.521,
884583,CF Blank,Peat,2/6/2012,10:54:01 AM,-1.0591E-06,1.96493E-07,8.6019E-06,-1.0591E-06,1.96493E-07,8.6019E-06,8.66908E-06,-190.51,82.8623,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,219.52,1,,,,,,,219.775,
884584,CF Blank,Peat,2/6/2012,10:56:59 AM,-1.04204E-06,2.02044E-07,0.000008644,-1.04204E-06,2.02044E-07,0.000008644,8.70893E-06,-190.973,82.9994,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,213.55,1,,,,,,,213.994,
884585,CF Blank,Peat,2/6/2012,10:59:43 AM,-1.02806E-06,2.087E-07,8.74944E-06,-1.02806E-06,2.087E-07,8.74944E-06,8.81211E-06,-191.475,83.1631,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,208.19,1,,,,,,,208.211,
884586,CF Blank,Peat,2/6/2012,11:02:16 AM,-1.00976E-06,2.10748E-07,0.000008744,-1.00976E-06,2.10748E-07,0.000008744,8.80463E-06,-191.789,83.272,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,201.95,1,,,,,,,202.344,
884587,CF Blank,Peat,2/6/2012,11:04:40 AM,-9.99182E-07,2.12041E-07,8.78899E-06,-9.99182E-07,2.12041E-07,8.78899E-06,8.84815E-06,-191.981,83.371,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,195.68,1,,,,,,,196.453,
884588,CF Blank,Peat,2/6/2012,11:06:59 AM,-9.81585E-07,2.16369E-07,8.84406E-06,-9.81585E-07,2.16369E-07,8.84406E-06,8.90099E-06,-192.431,83.516,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,189.78,1,,,,,,,190.356,
884589,CF Blank,Peat,2/6/2012,11:09:08 AM,-9.64718E-07,2.2246E-07,8.88706E-06,-9.64718E-07,2.2246E-07,8.88706E-06,8.94203E-06,-192.985,83.6434,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,183.61,1,,,,,,,184.188,
884590,CF Blank,Peat,2/6/2012,11:11:07 AM,-9.51335E-07,2.26545E-07,8.93202E-06,-9.51335E-07,2.26545E-07,8.93202E-06,8.98539E-06,-193.395,83.7518,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,177.63,1,,,,,,,178.114,
884591,CF Blank,Peat,2/6/2012,11:13:01 AM,-9.37843E-07,2.30036E-07,8.90333E-06,-9.37843E-07,2.30036E-07,8.90333E-06,8.95554E-06,-193.782,83.81,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,173.13,1,,,,,,,171.846,
884598,CF Blank,Peat,2/6/2012,11:14:49 AM,-9.26747E-07,2.36818E-07,8.94035E-06,-9.26747E-07,2.36818E-07,8.94035E-06,8.99138E-06,-194.334,83.8932,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,167.01,1,,,,,,,165.384,
884599,CF Blank,Peat,2/6/2012,11:16:28 AM,-9.16141E-07,2.40455E-07,9.03201E-06,-9.16141E-07,2.40455E-07,9.03201E-06,9.08154E-06,-194.706,84.0134,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,161.16,1,,,,,,,159.04,
884600,CF Blank,Peat,2/6/2012,11:18:07 AM,-9.05622E-07,2.4546E-07,9.00967E-06,-9.05622E-07,2.4546E-07,9.00967E-06,9.05839E-06,-195.165,84.0545,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,154.75,1,,,,,,,152.253,
884601,CF Blank,Peat,2/6/2012,11:19:36 AM,-8.95353E-07,2.4984E-07,9.15136E-06,-8.95353E-07,2.4984E-07,9.15136E-06,9.19845E-06,-195.591,84.2,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,148.36,1,,,,,,,145.697,
884602,CF Blank,Peat,2/6/2012,11:20:59 AM,-8.84253E-07,2.46758E-07,9.10904E-06,-8.84253E-07,2.46758E-07,9.10904E-06,9.15519E-06,-195.592,84.245,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,141.65,1,,,,,,,139.079,
884603,CF Blank,Peat,2/6/2012,11:22:18 AM,-8.72819E-07,2.52162E-07,9.12996E-06,-8.72819E-07,2.52162E-07,9.12996E-06,9.17505E-06,-196.114,84.3173,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,134.99,1,,,,,,,132.44,
884610,CF Blank,Peat,2/6/2012,11:23:36 AM,-8.12292E-07,2.36515E-07,9.01205E-06,-8.12292E-07,2.36515E-07,9.01205E-06,9.05168E-06,-196.234,84.637,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,127.34,1,,,,,,,125.341,
884611,CF Blank,Peat,2/6/2012,11:24:50 AM,-8.01165E-07,2.33168E-07,8.99346E-06,-8.01165E-07,2.33168E-07,8.99346E-06,9.03209E-06,-196.227,84.6993,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,119.83,1,,,,,,,118.365,
884612,CF Blank,Peat,2/6/2012,11:26:03 AM,-7.9817E-07,2.37127E-07,9.09403E-06,-7.9817E-07,2.37127E-07,9.09403E-06,9.13207E-06,-196.546,84.7686,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,112.34,1,,,,,,,111.134,
884613,CF Blank,Peat,2/6/2012,11:27:17 AM,-7.96469E-07,2.7794E-07,9.14104E-06,-7.96469E-07,2.7794E-07,9.14104E-06,9.17989E-06,-199.237,84.7275,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,105,1,,,,,,,103.692,
884614,CF Blank,Peat,2/6/2012,11:28:26 AM,-7.8827E-07,2.78842E-07,9.20598E-06,-7.8827E-07,2.78842E-07,9.20598E-06,9.24387E-06,-199.481,84.8103,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,98.68,1,,,,,,,96.744,
884621,CF Blank,Peat,2/6/2012,11:29:39 AM,-7.73722E-07,2.55261E-07,9.25202E-06,-7.73722E-07,2.55261E-07,9.25202E-06,9.28783E-06,-198.258,84.9675,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,90.59,1,,,,,,,89.454,
884622,CF Blank,Peat,2/6/2012,11:30:53 AM,-7.61893E-07,2.59859E-07,9.29602E-06,-7.61893E-07,2.59859E-07,9.29602E-06,9.33081E-06,-198.833,85.0508,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,83.66,1,,,,,,,82.491,
884623,CF Blank,Peat,2/6/2012,11:32:12 AM,-7.54746E-07,2.60841E-07,9.24394E-06,-7.54746E-07,2.60841E-07,9.24394E-06,9.27837E-06,-199.065,85.0627,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,77.01,1,,,,,,,75.513,
884624,CF Blank,Peat,2/6/2012,11:33:36 AM,-7.51333E-07,2.59908E-07,9.39203E-06,-7.51333E-07,2.59908E-07,9.39203E-06,9.42562E-06,-199.082,85.1616,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,70.65,1,,,,,,,68.628,
884631,CF Blank,Peat,2/6/2012,11:35:05 AM,-7.42284E-07,2.59522E-07,9.40901E-06,-7.42284E-07,2.59522E-07,9.40901E-06,9.44182E-06,-199.271,85.2227,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,62.58,1,,,,,,,61.699,
884632,CF Blank,Peat,2/6/2012,11:36:28 AM,-7.44718E-07,2.66396E-07,9.3806E-06,-7.44718E-07,2.66396E-07,9.3806E-06,9.41389E-06,-199.683,85.1805,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,57.39,1,,,,,,,54.82,
884633,CF Blank,Peat,2/6/2012,11:37:47 AM,-7.34662E-07,2.65818E-07,9.55719E-06,-7.34662E-07,2.65818E-07,9.55719E-06,9.58907E-06,-199.891,85.3266,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,50.24,1,,,,,,,47.468,
884634,CF Blank,Peat,2/6/2012,11:38:55 AM,-7.14027E-07,2.69655E-07,9.32561E-06,-7.14027E-07,2.69655E-07,9.32561E-06,9.35679E-06,-200.689,85.3211,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,42.58,1,,,,,,,39.772,
884635,CF Blank,Peat,2/6/2012,11:39:54 AM,-6.53624E-07,2.45936E-07,9.26795E-06,-6.53624E-07,2.45936E-07,9.26795E-06,9.29423E-06,-200.62,85.6908,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,36.26,1,,,,,,,31.189,
884642,CF Blank,Peat,2/6/2012,11:40:43 AM,-6.28454E-07,2.16917E-07,9.29497E-06,-6.28454E-07,2.16917E-07,9.29497E-06,9.31872E-06,-199.043,85.9088,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,27.29,1,,,,,,,22.778,
884649,CF Blank,Peat,2/6/2012,11:45:52 AM,-6.24274E-07,2.11593E-07,9.38737E-06,-6.24274E-07,2.11593E-07,9.38737E-06,9.41048E-06,-198.724,85.9834,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,21.42,1,,,,,,,17.74,
884662,CF Blank,Peat,2/6/2012,12:07:02 PM,-6.20703E-07,2.10733E-07,9.35002E-06,-6.20703E-07,2.10733E-07,9.35002E-06,9.37297E-06,-198.753,85.9897,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,23.33,1,,,,,,,17.13,
884663,CF Blank,Peat,2/6/2012,12:09:41 PM,-6.23013E-07,2.33429E-07,9.32594E-06,-6.23013E-07,2.33429E-07,9.32594E-06,9.34964E-06,-200.54,85.9195,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,30.01,1,,,,,,,23.416,
884664,CF Blank,Peat,2/6/2012,12:12:00 PM,-6.24894E-07,2.35854E-07,9.29996E-06,-6.24894E-07,2.35854E-07,9.29996E-06,9.32392E-06,-200.678,85.8921,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,35.44,1,,,,,,,29.181,
884671,CF Blank,Peat,2/6/2012,12:15:59 PM,-6.73054E-07,2.3614E-07,9.29704E-06,-6.73054E-07,2.3614E-07,9.29704E-06,9.32436E-06,-199.333,85.6128,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,39.39,1,,,,,,,34.63,
884678,CF Blank,Peat,2/6/2012,12:19:13 PM,-6.95019E-07,2.37311E-07,0.000009262,-6.95019E-07,2.37311E-07,0.000009262,9.29107E-06,-198.852,85.4663,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,45.11,1,,,,,,,41.489,
884679,CF Blank,Peat,2/6/2012,12:20:22 PM,-7.0048E-07,2.33826E-07,9.17001E-06,-7.0048E-07,2.33826E-07,9.17001E-06,9.1997E-06,-198.459,85.3958,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,51.49,1,,,,,,,50.115,
884680,CF Blank,Peat,2/6/2012,12:21:31 PM,-7.09157E-07,2.46873E-07,9.10997E-06,-7.09157E-07,2.46873E-07,9.10997E-06,9.14087E-06,-199.194,85.288,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,57.82,1,,,,,,,55.916,
884681,CF Blank,Peat,2/6/2012,12:23:00 PM,-7.11205E-07,2.56019E-07,9.08201E-06,-7.11205E-07,2.56019E-07,9.08201E-06,9.11341E-06,-199.798,85.2423,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,62.38,1,,,,,,,61.043,
884706,CF Blank,Peat,2/6/2012,12:47:08 PM,-7.0767E-07,2.72226E-07,9.13846E-06,-7.0767E-07,2.72226E-07,9.13846E-06,9.16986E-06,-201.041,85.257,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,67.74,1,,,,,,,66.216,
884719,CF Blank,Peat,2/6/2012,12:57:47 PM,-7.07393E-07,2.35592E-07,9.19662E-06,-7.07393E-07,2.35592E-07,9.19662E-06,9.2268E-06,-198.42,85.365,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,72.91,1,,,,,,,71.385,
884726,CF Blank,Peat,2/6/2012,1:08:41 PM,-7.11366E-07,2.34984E-07,9.11094E-06,-7.11366E-07,2.34984E-07,9.11094E-06,9.14169E-06,-198.28,85.2993,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,77.1,1,,,,,,,76.552,
884739,CF Blank,Peat,2/6/2012,1:19:40 PM,-7.11391E-07,2.32844E-07,9.0791E-06,-7.11391E-07,2.32844E-07,9.0791E-06,9.10991E-06,-198.124,85.2869,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,81.77,1,,,,,,,81.733,
884746,CF Blank,Peat,2/6/2012,1:30:44 PM,-7.21307E-07,2.301E-07,9.08966E-06,-7.21307E-07,2.301E-07,9.08966E-06,9.12114E-06,-197.693,85.2386,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,86.34,1,,,,,,,86.903,
884759,CF Blank,Peat,2/6/2012,1:41:57 PM,-7.26434E-07,2.29119E-07,9.04948E-06,-7.26434E-07,2.29119E-07,9.04948E-06,9.08148E-06,-197.505,85.1887,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,91.59,1,,,,,,,92.057,
884766,CF Blank,Peat,2/6/2012,1:53:06 PM,-7.34204E-07,2.2962E-07,9.13647E-06,-7.34204E-07,2.2962E-07,9.13647E-06,9.1688E-06,-197.367,85.1872,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,97.49,1,,,,,,,97.209,
884767,CF Blank,Peat,2/6/2012,2:04:40 PM,-7.44557E-07,2.28504E-07,8.87056E-06,-7.44557E-07,2.28504E-07,8.87056E-06,8.90469E-06,-197.061,84.9823,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,102.17,1,,,,,,,102.383,
884768,CF Blank,Peat,2/6/2012,2:16:09 PM,-7.56389E-07,2.27419E-07,8.99716E-06,-7.56389E-07,2.27419E-07,8.99716E-06,9.03176E-06,-196.734,84.983,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,106.91,1,,,,,,,107.553,
884769,CF Blank,Peat,2/6/2012,2:27:57 PM,-0.000000767,2.24223E-07,8.68241E-06,-0.000000767,2.24223E-07,8.68241E-06,8.7191E-06,-196.296,84.7415,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,112.2,1,,,,,,,112.714,
884770,CF Blank,Peat,2/6/2012,2:39:46 PM,-7.77311E-07,2.2521E-07,8.86354E-06,-7.77311E-07,2.2521E-07,8.86354E-06,8.90041E-06,-196.158,84.7831,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,117.78,1,,,,,,,117.862,
884771,CF Blank,Peat,2/6/2012,2:51:50 PM,-7.90401E-07,2.5817E-07,8.70934E-06,-7.90401E-07,2.5817E-07,8.70934E-06,8.74895E-06,-198.089,84.5464,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,123.07,1,,,,,,,123.03,
884772,CF Blank,Peat,2/6/2012,3:03:39 PM,-7.98816E-07,2.24017E-07,8.66155E-06,-7.98816E-07,2.24017E-07,8.66155E-06,8.7012E-06,-195.665,84.5287,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,128.44,1,,,,,,,128.186,
884773,CF Blank,Peat,2/6/2012,3:15:08 PM,-8.05188E-07,2.20637E-07,8.68107E-06,-8.05188E-07,2.20637E-07,8.68107E-06,8.72112E-06,-195.324,84.5067,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,133.98,1,,,,,,,133.377,
884774,CF Blank,Peat,2/6/2012,3:27:06 PM,-8.13726E-07,2.18127E-07,8.58641E-06,-8.13726E-07,2.18127E-07,8.58641E-06,8.62763E-06,-195.006,84.3964,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,139.04,1,,,,,,,138.53,
884775,CF Blank,Peat,2/6/2012,3:39:30 PM,-8.22782E-07,2.13722E-07,8.60704E-06,-8.22782E-07,2.13722E-07,8.60704E-06,8.64892E-06,-194.561,84.3594,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,144.39,1,,,,,,,143.676,
884776,CF Blank,Peat,2/6/2012,3:52:19 PM,-8.28199E-07,2.09822E-07,8.50849E-06,-8.28199E-07,2.09822E-07,8.50849E-06,8.55128E-06,-194.217,84.266,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,149.38,1,,,,,,,148.816,
884777,CF Blank,Peat,2/6/2012,4:05:28 PM,-8.34361E-07,2.04295E-07,8.52497E-06,-8.34361E-07,2.04295E-07,8.52497E-06,8.56814E-06,-193.758,84.2461,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,154.58,1,,,,,,,153.966,
884778,CF Blank,Peat,2/6/2012,4:18:57 PM,-8.42336E-07,2.04359E-07,8.48599E-06,-8.42336E-07,2.04359E-07,8.48599E-06,8.53015E-06,-193.637,84.168,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,159.47,1,,,,,,,159.12,
884779,CF Blank,Peat,2/6/2012,4:32:45 PM,-8.52736E-07,2.00665E-07,8.44997E-06,-8.52736E-07,2.00665E-07,8.44997E-06,8.49525E-06,-193.242,84.0812,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,164.11,1,,,,,,,164.267,
884780,CF Blank,Peat,2/6/2012,4:46:54 PM,-8.62204E-07,1.9795E-07,8.41304E-06,-8.62204E-07,1.9795E-07,8.41304E-06,8.45942E-06,-192.93,83.9974,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,168.92,1,,,,,,,169.391,
884781,CF Blank,Peat,2/6/2012,5:01:27 PM,-8.7148E-07,1.93066E-07,8.37804E-06,-8.7148E-07,1.93066E-07,8.37804E-06,8.42546E-06,-192.491,83.9186,,,,,,,,,,,,,,,,,,,,,,,,3,19,3,,0,,1,173.45,1,,,,,,,174.519,
