specimen,step(mT),intensity,dec_geo,inc_geo,dec_spec,inc_spec
PW15-4,0,0.0345874,200.2,-7.8,354.3,72.1
PW15-4,0,0.0165616,200.1,-9.1,354.2,70.8
PW15-4,5,0.0158662,200.1,-8.8,354.3,71.1
PW15-4,10,0.0107247,199.8,-8.1,352.9,71.7
PW15-4,15,0.00506305,198.5,-9.9,349.8,69.8
PW15-4,20,0.00224259,196.5,-12.2,346,67.2
PW15-4,25,0.00123913,194.6,-11.6,341.1,67.2
PW15-4,30,0.000706115,194.5,-11.6,340.7,67.1
PW15-4,40,0.000371513,194.5,-12.4,341.4,66.4
PW15-4,50,0.000211595,194.1,-13.3,341.2,65.4
PW15-4,60,0.000135351,193.5,-14,340.5,64.6
PW15-4,70,9.03E-05,192,-12.6,336.1,65.3
PW15-4,80,7.54E-05,192.5,-15.6,339.6,62.7
PW15-4,90,5.81E-05,192.7,-11.5,336.4,66.6
PW15-4,100,4.59E-05,188.5,-10.8,326.9,65.3
